framework,control,chapter,chapter_name,source_file,practice_id,practice_name,how_it_maps,notes,source_ref
BSIMM,SR1.1,01,classificacao-aplicacoes,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM SR1.1,AUTO: achievable-maturity (heurístico),/01#achievable
BSIMM,SR1.5,01,classificacao-aplicacoes,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM SR1.5,AUTO: achievable-maturity (heurístico),/01#achievable
SAMM,,01,classificacao-aplicacoes,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/achievable-maturity.md,MAT-SAMM,Achievable maturity mapping,SAMM mencionado em achievable-maturity,AUTO: presença,/01#achievable
SLSA,3,01,classificacao-aplicacoes,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 3,AUTO: achievable-maturity,/01#achievable
SLSA,1,01,classificacao-aplicacoes,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 1,AUTO: achievable-maturity,/01#achievable
DSOMM,,01,classificacao-aplicacoes,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/achievable-maturity.md,MAT-DSOMM,Achievable maturity mapping,DSOMM mencionado em achievable-maturity,AUTO: presença,/01#achievable
LIFECYCLE,STORY,01,classificacao-aplicacoes,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/aplicacao-lifecycle.md,,🛠️ User stories reutilizáveis,User story/heading do lifecycle,AUTO: heurístico,/01#lifecycle
LIFECYCLE,STORY,01,classificacao-aplicacoes,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/aplicacao-lifecycle.md,,US-05 - Validação antes do go-live,User story/heading do lifecycle,AUTO: heurístico,/01#lifecycle
LIFECYCLE,STORY,01,classificacao-aplicacoes,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/aplicacao-lifecycle.md,,📑 Artefactos esperados (por fase),User story/heading do lifecycle,AUTO: heurístico,/01#lifecycle
SSDF,PW.1,02,requisitos-seguranca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/02-requisitos-seguranca/achievable-maturity.md,MAT-SSDF,Achievable maturity mapping,Linha contendo SSDF PW.1,AUTO: achievable-maturity,/02#achievable
BSIMM,AM1.1,02,requisitos-seguranca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/02-requisitos-seguranca/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM AM1.1,AUTO: achievable-maturity (heurístico),/02#achievable
BSIMM,AM2.1,02,requisitos-seguranca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/02-requisitos-seguranca/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM AM2.1,AUTO: achievable-maturity (heurístico),/02#achievable
SAMM,,02,requisitos-seguranca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/02-requisitos-seguranca/achievable-maturity.md,MAT-SAMM,Achievable maturity mapping,SAMM mencionado em achievable-maturity,AUTO: presença,/02#achievable
SLSA,3,02,requisitos-seguranca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/02-requisitos-seguranca/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 3,AUTO: achievable-maturity,/02#achievable
SLSA,1,02,requisitos-seguranca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/02-requisitos-seguranca/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 1,AUTO: achievable-maturity,/02#achievable
DSOMM,,02,requisitos-seguranca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/02-requisitos-seguranca/achievable-maturity.md,MAT-DSOMM,Achievable maturity mapping,DSOMM mencionado em achievable-maturity,AUTO: presença,/02#achievable
LIFECYCLE,STORY,02,requisitos-seguranca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/02-requisitos-seguranca/aplicacao-lifecycle.md,,📝 User Stories e Cartões Reutilizáveis,User story/heading do lifecycle,AUTO: heurístico,/02#lifecycle
LIFECYCLE,STORY,02,requisitos-seguranca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/02-requisitos-seguranca/aplicacao-lifecycle.md,,US-05 - Definição de critérios de validação,User story/heading do lifecycle,AUTO: heurístico,/02#lifecycle
LIFECYCLE,STORY,02,requisitos-seguranca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/02-requisitos-seguranca/aplicacao-lifecycle.md,,US-06 - Validação de cobertura de testes,User story/heading do lifecycle,AUTO: heurístico,/02#lifecycle
LIFECYCLE,STORY,02,requisitos-seguranca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/02-requisitos-seguranca/aplicacao-lifecycle.md,,US-07 - Validação e aprovação final,User story/heading do lifecycle,AUTO: heurístico,/02#lifecycle
LIFECYCLE,STORY,02,requisitos-seguranca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/02-requisitos-seguranca/aplicacao-lifecycle.md,,📄 Templates e artefactos esperados,User story/heading do lifecycle,AUTO: heurístico,/02#lifecycle
SSDF,PW.3,03,threat-modeling,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/03-threat-modeling/achievable-maturity.md,MAT-SSDF,Achievable maturity mapping,Linha contendo SSDF PW.3,AUTO: achievable-maturity,/03#achievable
BSIMM,AA1.1,03,threat-modeling,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/03-threat-modeling/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM AA1.1,AUTO: achievable-maturity (heurístico),/03#achievable
BSIMM,AA1.2,03,threat-modeling,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/03-threat-modeling/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM AA1.2,AUTO: achievable-maturity (heurístico),/03#achievable
BSIMM,AA2.1,03,threat-modeling,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/03-threat-modeling/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM AA2.1,AUTO: achievable-maturity (heurístico),/03#achievable
SAMM,,03,threat-modeling,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/03-threat-modeling/achievable-maturity.md,MAT-SAMM,Achievable maturity mapping,SAMM mencionado em achievable-maturity,AUTO: presença,/03#achievable
SLSA,3,03,threat-modeling,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/03-threat-modeling/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 3,AUTO: achievable-maturity,/03#achievable
SLSA,1,03,threat-modeling,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/03-threat-modeling/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 1,AUTO: achievable-maturity,/03#achievable
DSOMM,,03,threat-modeling,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/03-threat-modeling/achievable-maturity.md,MAT-DSOMM,Achievable maturity mapping,DSOMM mencionado em achievable-maturity,AUTO: presença,/03#achievable
LIFECYCLE,STORY,03,threat-modeling,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/03-threat-modeling/aplicacao-lifecycle.md,,📝 User Stories e Cartões Reutilizáveis,User story/heading do lifecycle,AUTO: heurístico,/03#lifecycle
LIFECYCLE,STORY,03,threat-modeling,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/03-threat-modeling/aplicacao-lifecycle.md,,US-02 - Validação de arquitetura com threat modeling,User story/heading do lifecycle,AUTO: heurístico,/03#lifecycle
LIFECYCLE,STORY,03,threat-modeling,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/03-threat-modeling/aplicacao-lifecycle.md,,US-06 - Validação de impacto no negócio,User story/heading do lifecycle,AUTO: heurístico,/03#lifecycle
LIFECYCLE,STORY,03,threat-modeling,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/03-threat-modeling/aplicacao-lifecycle.md,,📄 Templates e artefactos esperados,User story/heading do lifecycle,AUTO: heurístico,/03#lifecycle
SSDF,PW.4,04,arquitetura-segura,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/04-arquitetura-segura/achievable-maturity.md,MAT-SSDF,Achievable maturity mapping,Linha contendo SSDF PW.4,AUTO: achievable-maturity,/04#achievable
BSIMM,AA1.2,04,arquitetura-segura,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/04-arquitetura-segura/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM AA1.2,AUTO: achievable-maturity (heurístico),/04#achievable
BSIMM,AA2.1,04,arquitetura-segura,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/04-arquitetura-segura/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM AA2.1,AUTO: achievable-maturity (heurístico),/04#achievable
SAMM,,04,arquitetura-segura,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/04-arquitetura-segura/achievable-maturity.md,MAT-SAMM,Achievable maturity mapping,SAMM mencionado em achievable-maturity,AUTO: presença,/04#achievable
SLSA,2,04,arquitetura-segura,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/04-arquitetura-segura/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 2,AUTO: achievable-maturity,/04#achievable
SLSA,1,04,arquitetura-segura,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/04-arquitetura-segura/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 1,AUTO: achievable-maturity,/04#achievable
DSOMM,,04,arquitetura-segura,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/04-arquitetura-segura/achievable-maturity.md,MAT-DSOMM,Achievable maturity mapping,DSOMM mencionado em achievable-maturity,AUTO: presença,/04#achievable
LIFECYCLE,STORY,04,arquitetura-segura,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/04-arquitetura-segura/aplicacao-lifecycle.md,,📝 User Stories Reutilizáveis,User story/heading do lifecycle,AUTO: heurístico,/04#lifecycle
LIFECYCLE,STORY,04,arquitetura-segura,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/04-arquitetura-segura/aplicacao-lifecycle.md,,US-05 - Validação da arquitetura em CI/CD,User story/heading do lifecycle,AUTO: heurístico,/04#lifecycle
LIFECYCLE,STORY,04,arquitetura-segura,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/04-arquitetura-segura/aplicacao-lifecycle.md,,US-06 - Validação de impacto no negócio,User story/heading do lifecycle,AUTO: heurístico,/04#lifecycle
LIFECYCLE,STORY,04,arquitetura-segura,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/04-arquitetura-segura/aplicacao-lifecycle.md,,US-07 - Validação da arquitetura no Go-live,User story/heading do lifecycle,AUTO: heurístico,/04#lifecycle
LIFECYCLE,STORY,04,arquitetura-segura,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/04-arquitetura-segura/aplicacao-lifecycle.md,,📑 Artefactos Esperados,User story/heading do lifecycle,AUTO: heurístico,/04#lifecycle
BSIMM,SR1.2,05,dependencias-sbom-sca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM SR1.2,AUTO: achievable-maturity (heurístico),/05#achievable
BSIMM,SE2.4,05,dependencias-sbom-sca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM SE2.4,AUTO: achievable-maturity (heurístico),/05#achievable
SAMM,,05,dependencias-sbom-sca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/achievable-maturity.md,MAT-SAMM,Achievable maturity mapping,SAMM mencionado em achievable-maturity,AUTO: presença,/05#achievable
SLSA,3,05,dependencias-sbom-sca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 3,AUTO: achievable-maturity,/05#achievable
SLSA,2,05,dependencias-sbom-sca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 2,AUTO: achievable-maturity,/05#achievable
SLSA,1,05,dependencias-sbom-sca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 1,AUTO: achievable-maturity,/05#achievable
DSOMM,,05,dependencias-sbom-sca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/achievable-maturity.md,MAT-DSOMM,Achievable maturity mapping,DSOMM mencionado em achievable-maturity,AUTO: presença,/05#achievable
LIFECYCLE,STORY,05,dependencias-sbom-sca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/aplicacao-lifecycle.md,,📖 User Stories Reutilizáveis,User story/heading do lifecycle,AUTO: heurístico,/05#lifecycle
LIFECYCLE,STORY,05,dependencias-sbom-sca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/aplicacao-lifecycle.md,,US-05 - Validação de release (*go/no-go*),User story/heading do lifecycle,AUTO: heurístico,/05#lifecycle
LIFECYCLE,STORY,05,dependencias-sbom-sca,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/aplicacao-lifecycle.md,,📦 Artefactos esperados,User story/heading do lifecycle,AUTO: heurístico,/05#lifecycle
BSIMM,SE2.3,06,desenvolvimento-seguro,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM SE2.3,AUTO: achievable-maturity (heurístico),/06#achievable
BSIMM,SE2.4,06,desenvolvimento-seguro,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM SE2.4,AUTO: achievable-maturity (heurístico),/06#achievable
BSIMM,CP1.1,06,desenvolvimento-seguro,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/achievable-maturity.md,MAT-BSIMM,Achievable maturity mapping,Token BSIMM CP1.1,AUTO: achievable-maturity (heurístico),/06#achievable
SAMM,,06,desenvolvimento-seguro,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/achievable-maturity.md,MAT-SAMM,Achievable maturity mapping,SAMM mencionado em achievable-maturity,AUTO: presença,/06#achievable
SLSA,3,06,desenvolvimento-seguro,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 3,AUTO: achievable-maturity,/06#achievable
SLSA,2,06,desenvolvimento-seguro,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 2,AUTO: achievable-maturity,/06#achievable
SLSA,1,06,desenvolvimento-seguro,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/achievable-maturity.md,MAT-SLSA,Achievable maturity mapping,SLSA nível 1,AUTO: achievable-maturity,/06#achievable
DSOMM,,06,desenvolvimento-seguro,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/achievable-maturity.md,MAT-DSOMM,Achievable maturity mapping,DSOMM mencionado em achievable-maturity,AUTO: presença,/06#achievable
LIFECYCLE,STORY,06,desenvolvimento-seguro,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/aplicacao-lifecycle.md,,📖 User Stories reutilizáveis,User story/heading do lifecycle,AUTO: heurístico,/06#lifecycle
LIFECYCLE,STORY,06,desenvolvimento-seguro,SbD-ToE-Manual/manuals_src/docs/sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/aplicacao-lifecycle.md,,US-06 - Uso Validado de GenIA,User story/heading do lifecycle,AUTO: heurístico,/06#lifecycle
